カテゴリ,具体例,位置づけ,説明・背景,物語活用,出典確認推奨
スーパー・買い物,TSURUYA（ツルヤ）,県民生活の中核,小諸市本社・「長野の成城石井」・品質とブランド力が異常に高い・県外観光客の定番お土産地,ヒーローの活動資金源・回復アイテム調達地・県民共感度が非常に高い,TSURUYA公式・長野県経済メディア
スーパー・オリジナル商品,りんごバター・ジャム・ドライフルーツ・丸山珈琲コラボ,日常消費の象徴,プライベートブランド（PB）の品質が異常に高い・別荘族の御用達・夏場の駐車場は高級外車で埋め尽くされる（軽井沢店），ギア・補給物資としての説得力・県民キャラの好み・贈り物のシーン,TSURUYA店舗検証・県民購買データ
食文化,ビタミンちくわ（ビタちく）,謎の食文化現象,スギヨ製（石川県）ながら消費量のほぼ全てが長野県・戦後の栄養補給から定着・穴にキュウリやチーズを詰めるのではなく丸かじりor煮物,地域特性の不思議さを表現・県民アイデンティティの象徴・シュールなリアリティ,スギヨ公式・長野県民アンケート・食品流通統計
言語・方言,「前向き駐車」,言語の罠・混乱,バックで駐車すること（車の頭を前に向けて出す状態）を指す・一般的な日本語と逆の意味・県外ドライバーを混乱させる,敵の罠・コミュニケーション誤解・ローカル知識がないと行動不可の設定,地域交通標識・コンビニ駐車場の実態確認推奨
言語・方言,「ごしたい」（ごしてー）,日常会話表現,「疲れた」「体がだるい」を意味する・戦闘後のリアリティある台詞として使える,キャラクターの感情表現・地域性の強い自然な会話,県民インタビュー・方言辞典
言語・方言,「いただきました」,挨拶・食文化,「ごちそうさま」の意味ではなく食事の前後の挨拶として使われる・他県民が最も混乱する表現,県民の食事シーン・誤解による外来者の困惑,食事風景ドキュメンタリー
言語・方言,「なから」,程度を表す表現,「だいたい」「おおよそ」を意味する・精密機械を作る一方で日常会話ではアバウトさを許容する言葉,コントラスト表現・県民性の複雑さ・細かさと大雑把さの両立,県民日常会話
言語・方言,「〜ずら」,終助詞,「〜でしょう」を意味する・静岡・山梨と共通・南信・中信で使われる・コマさん（妖怪ウォッチ）のイメージがあるが実は高齢者の自然な言葉,キャラクターの方言演技・世代表現・親近感,妖怪ウォッチ・県民会話・言語学研究
教育文化,スズキ・メソード（才能教育研究会）,音楽教育の国際的基盤,ヴァイオリニスト鈴木鎮一が松本市で創始・「母語教育法」・世界46ヶ国に普及・世界的著名音楽家がこのメソッドで育成,必殺技の根拠（音波攻撃等）・音を武器にする設定・戦闘のリズムとクラシック音楽の同期,スズキ・メソード公式・世界音楽教育論文
文化施設,セイジ・オザワ松本フェスティバル（OMF）,音楽都市としてのブランド,世界的指揮者・小澤征爾が松本を愛し長年開催・夏に世界トップクラスの音楽家が集結,国際的な文化交流・音楽に関連する威力・世界規模でのネットワーク,OMF公式サイト・小澤征爾インタビュー
文化施設,松本市「楽都」ブランド,音楽文化の中心,松本城周辺の音楽インフラ・街全体が音楽教育・コンサートホール・音楽祭で構成,街の固有の力・音楽と武力の融合・地域的統一性,松本市観光課・楽都松本公式資料
国際交流,白馬バレー（HAKUBA VALLEY）の国際化,外国人受け入れの最先端,オーストラリア人を中心としたスキー客・冬の白馬村は「公用語が英語」・カフェやバーはインバウンド価格・独立した経済圏,国際的なセッティング・言語混在・異なる価値観の衝突,白馬村観光協会・外国人客アンケート・宿泊施設インタビュー
国際交流,地獄谷野猿公苑スノーモンキー,外国人観光客の象徴,日本人よりも外国人（欧米豪）に圧倒的に人気・冬場は秘境にもかかわらず外国人だらけ・彼らにとって「NAGANO」の象徴は猿,異文化理解のシンボル・予期しない国際交流・SNS時代の現象,BBC『Planet Earth II』・NatGeo記事・インスタグラム発祥の人気スポット
都市・地域,小諸市の駅前商店街・古い街並み,ノスタルジアの中心,江戸期の町並みが一部保存・『あの夏で待ってる』のロケ地・古い日本の情緒が色濃く残る,時間軸のシフト・懐かしさの舞台・平成～令和の風景との対比,小諸市観光課・建築物保存資料
都市・地域,渋温泉の金具屋,古い日本建築の象徴,『千と千尋の神隠し』の湯屋のモデルの一つ・木造建築・幻想的な雰囲気・和風ファンタジーの具現化,時間の停止・異世界への入口・伝統の保存・精神的な浄化,金具屋公式・映画背景考証資料
