人物A,人物B,関係性,時代,接点・影響,出典確認推奨
葛飾北斎,高井鴻山,patron-artist,江戸末期（1840-49）,高井鴻山がスポンサー・北斎を小布施に招き肉筆大作製作支援,小布施町北斎館・『北斎と高井鴻山』
小林一茶,葛飾北斎,同時代の北信濃文化人,江戸末期,同時代に北信濃で活動・共有する文化土壌・直接的な交流記録は確認されていない,国立国会図書館・俳句協会
島崎藤村,高野辰之,同時代の信州出身の巨人,明治中期,同時代に活躍・自然主義文学（藤村）vs国文学・官製唱歌（高野）で活動領域が異なる,文学史・『日本近代文学辞典』
高野辰之,文部省唱歌委員会,institutional,明治期,『故郷』『紅葉』など唱歌製作で国民教育に貢献,文部省唱歌アーカイブ
佐久間象山,吉田松陰,mentor-student,幕末（1850s）,象山の塾で松陰が学ぶ・「東洋道徳・西洋芸術」の思想,幕末思想史・『松代象山地の館』
真田幸村,信州の民族精神,cultural icon,戦国-近代,「不惜身命」の精神が県民アイデンティティの中核,『信州人研究』・教育委員会資料
葛飾北斎,浮世絵江戸文化,cultural influence,江戸,浮世絵版画で信州の風景を全国に伝播,美術史・浮世絵アーカイブ
堀辰雄,軽井沢避暑地文化,writer-location,昭和初期,『風立ちぬ』で軽井沢の療養地としてのイメージ形成,文学史・軽井沢町史
新海誠,長野県の自然・星空,director-location,2010s-2020s,『君の名は。』『天気の子』『すずめの戸締まり』で長野風景を国際的に発信,新海誠監督作品・映画学
久石譲,スタジオジブリ,composer-studio,1980s-2020s,『千と千尋の神隠し』『ハウルの動く城』など宮崎駿監督作品で世界的評価,ジブリ公式・音楽史
King Gnu（常田・井口）,現代音楽シーン,contemporary artists,2010s-2020s,日本の現代ポップスの最前線・伊那市出身の国際的活躍,音楽メディア・King Gnu公式
Mrs. GREEN APPLE（藤澤涼架）,現代音楽シーン,contemporary artists,2010s-2020s,日本の現代ロックバンド・伊那市出身,音楽メディア・バンド公式
GLIM SPANKY,現代音楽シーン,contemporary artists,2010s-2020s,日本の現代ロックバンド・南信出身メンバー,音楽メディア・バンド公式
美川憲一,演歌文化,entertainer,1970s-2020s,諏訪市出身・独特の歌唱スタイルで演歌文化の伝承者,演歌音楽史・歌手プロフィール
藤森慎吾,お笑い・音楽,entertainer,1990s-2020s,諏訪市出身・お笑いと音楽の両面で活躍,芸能界・Wikipedia
草間彌生,現代美術国際化,avant-garde artist,1960s-2020s,松本出身・前衛美術で国際的評価・松本市美術館で顕彰,現代美術史・松本市美術館
芥川龍之介,軽井沢文化,writer-location,大正期,軽井沢でのサナトリウム滞在・『羅生門』など代表作執筆,文学史・軽井沢町史
ジョン・レノン,軽井沢文化,cultural figure,1960s-70s,ビートルズのジョン・レノンが軽井沢で家族滞在・国際的注目,ビートルズ伝記・軽井沢町史
