タイトル,ジャンル,舞台地（市町村）,作品の特徴,長野県との接点,物語活用のポイント,出典確認推奨
サマーウォーズ,アニメ映画,上田市,大家族の絆とデジタル戦闘・仮想世界と現実の融合,上田城・真田家の歴史モチーフ・江戸風家屋が登場,伝統×技術というコンセプトの具現化・家族愛の軸,細田守監督作品・マッドハウス
ゆるキャン△,アニメ・漫画,霧ヶ峰・高ボッチ高原・陣馬形山,高校生キャンプを通じた自然とのふれあい・キャンプブーム牽引,長野の山岳地帯の忠実な再現・地形データの精密さ,「自然を楽しむ」スタイルの再定義・聖地巡礼の中心地,漫画：あfろ（芳文社）・アニメ化
千と千尋の神隠し,アニメ映画,渋温泉（山ノ内町）,ファンタジーと伝統文化・湯屋という異世界,金具屋という木造建築の存在・温泉文化・江戸情緒,幻想的な雰囲気・伝統建造物の神聖性,新海誠監督ではなく宮崎駿監督・スタジオジブリ
あの夏で待ってる,アニメ映画,小諸市,青春・時間軸のパラレル・ノスタルジア,小諸市の風景が忠実に再現・実在のロケ地巡礼可能,現実と幻想の境界線・懐かしさと新しさの融合,美水かがみ監督・作品背景の精密さで知られる
白馬村のスキーリゾート,実写ロケ地,白馬村,多くの映画・ドラマのスキーシーンの背景,国際的な冬季スポーツの中心・オーストラリア人スキー客,ウインタースポーツ・国際的なセッティング,複数映画作品で使用・聖地巡礼の対象
野沢温泉村,実写ロケ地,野沢温泉村,多くの温泉物語・旅情緒,日本有数のスキーリゾート・温泉文化の体現,ロードムービー・休息シーン・精神的な浄化,実写ドラマ・映画の背景地として定番
地獄谷野猿公苑（スノーモンキー）,観光地・サブカル,山ノ内町,温泉に入るニホンザル・国際的知名度,外国人観光客の圧倒的支持・冬場の風物詩,異文化交流・動物キャラクターの親和性,BBC・NatGeoドキュメンタリー・インスタグラム発祥の現象
松本城,歴史遺産・アニメモチーフ,松本市,国宝・江戸期の建築・多くのメディアの背景,歴史ファンタジーの舞台・城の背景として定番,権力の象徴・階級社会の表現・軍事的な堅牢性,NHK大河ドラマ『真田丸』でもフィーチャー
浅間山・蓼科山,地理的ランドマーク,佐久市・立科町周辺,富士山と並ぶ日本を代表する火山,民俗信仰の対象・修験道の対象・高さ2568m,神聖性・危機的な地形・精神的な試練,登山映画・宗教的な背景
上田城跡公園,実写ロケ地,上田市,江戸城に次ぐ規模の城跡・武力の象徴,『サマーウォーズ』のモチーフ・実は多くのドラマ・映画の背景,戦闘シーン・権力闘争・歴史的背景,2016年NHK大河ドラマ『真田丸』のメイン舞台
